SPECIMEN_NUM,MAX_FI_ALL,MAX_FI_PINCHING,MAX_FI_FOLDING,MAX_SE,Eccentricity,y1,x1,Dx,y3,yP2,fP3,x2_derived,x3_derived,xP3_derived,yP3_derived
0,1.256330827,0.483974852,1.256330827,1079.309814,0.428820467,2.197025132,27.26339028,11.37400207,2.411296188,8.220361319,0.381979977,54.52678056,65.90078263,58.87142161,4.822592377
1,1.017395415,0.929973139,1.017395415,795.9181519,0.121879412,6.702675175,34.48466053,19.884788,1.915498051,6.690864883,0.778979316,68.96932105,88.85410905,84.45915962,3.830996102
2,1.679770823,1.004580082,1.679770823,1095.892822,0.018391073,2.579310348,32.5308931,13.65448231,1.17396344,2.292673958,2.992830432,65.06178619,78.71626851,105.9273364,2.34792688
3,1.032679958,0.896402468,1.032679958,523.3486328,0.599603798,9.117916758,33.44193777,25.08435201,3.941282503,7.549313919,0.265261272,66.88387554,91.96822754,73.53778266,7.882565007
4,1.150981696,0.946335052,1.150981696,699.3366699,0.342204232,7.811516318,28.82766389,7.412694523,4.258078995,10.20724221,2.842190084,57.65532779,65.06802231,78.72361466,8.516157989
5,1.129760294,1.129760294,1.123645018,478.1434937,0.657657879,10.10100455,26.77945014,21.78260514,2.08696969,12.34655905,1.315313511,53.55890027,75.34150542,82.20985513,4.17393938
6,1.044276833,0.994061487,1.044276833,637.9476318,0.447850188,10.73762016,32.47152265,10.97788312,5.662446064,8.45375239,2.38858788,64.94304531,75.92092843,91.16468387,11.32489213
7,1.361809686,1.361809686,1.355012188,803.0739136,0.564601698,4.750266789,31.67530374,12.97534077,2.971448298,1.131059343,2.283815628,63.35060747,76.32594824,92.98389349,5.942896597
8,1.26530825,1.26530825,1.264816519,725.0265503,0.290845053,11.27986311,25.45613146,7.656574713,4.927732123,7.161353713,2.610687733,50.91226293,58.56883764,70.90118861,9.855464247
9,1.377536737,1.214612606,1.377536737,924.0158081,0.381970172,8.373111909,29.84904373,6.166343087,1.011713539,3.99739275,2.029839086,59.69808747,65.86443055,72.21477168,2.023427079
10,0.949478995,0.879811112,0.949478995,836.1348877,0.323189547,5.038820136,34.0793867,17.59300005,3.868479378,3.411105844,0.014744363,68.15877341,85.75177346,68.418171,7.736958756
11,1.432807066,1.054582632,1.432807066,935.8215942,0.06341787,9.378506728,25.56627766,9.188890065,6.138995118,2.380459201,1.468622143,51.13255532,60.32144538,64.62756274,12.27799024
12,1.408974008,1.383356172,1.408974008,763.9744263,0.464906805,4.388416583,29.66781028,15.7475425,6.44748225,1.647685204,2.45515504,59.33562056,75.08316307,97.99827891,12.8949645
13,0.946893468,0.780318392,0.946893468,746.7613525,0.13919112,5.877237918,30.98162517,23.87212174,2.5364477,10.58119084,1.950377127,61.96325035,85.83537209,108.5228906,5.072895401
14,1.02308515,0.819182423,1.02308515,665.5913086,0.585614961,6.004425541,28.31904749,25.83878186,2.841583317,6.847705051,1.030862354,56.63809497,82.47687684,83.27432248,5.683166634
15,1.029320183,0.893421373,1.029320183,453.8173828,0.690613419,9.948551882,29.3995403,23.98951961,4.078522441,6.258824183,1.592483636,58.79908061,82.78860022,97.00199802,8.157044882
16,1.105000851,1.086272118,1.105000851,809.8270874,0.04965414,11.59291705,34.51658658,16.19533463,6.049751279,5.192033926,0.551229408,69.03317315,85.22850778,77.96051787,12.09950256
17,1.49158238,1.185685289,1.49158238,878.2341309,0.226346445,6.988449302,25.88509355,9.456551719,3.299308339,12.98350276,0.321594069,51.77018709,61.22673881,54.81135804,6.598616679
18,1.063278832,0.920368026,1.063278832,909.5968018,0.351206218,4.676956535,33.92346814,12.32620094,1.669226956,6.094102673,0.095295267,67.84693628,80.17313722,69.02156489,3.338453911
19,0.924009557,0.769003126,0.924009557,773.2218628,0.078833876,5.356988081,32.92439618,15.03828745,4.530151768,9.288885014,1.676555561,65.84879235,80.88707981,91.06131682,9.060303536
20,0.902303788,0.902303788,0.850867423,752.1405029,0.015668508,7.18526891,27.22942129,16.55568086,5.124497474,8.895348133,2.497000006,54.45884258,71.01452344,95.79837778,10.24899495
21,0.956546787,0.956546787,0.950786383,567.204895,0.411195221,10.87076792,34.77415949,24.91842925,3.490734886,3.885464417,1.919350221,69.54831897,94.46674822,117.3755117,6.981469771
22,0.799617539,0.799617539,0.780300572,734.9848633,0.517637806,5.543979129,28.67936554,20.26563053,4.382789966,4.955823676,0.922213722,57.35873107,77.6243616,76.04797363,8.765579933
23,1.287335375,1.108258979,1.287335375,538.3548584,0.64098353,10.34113055,26.57125742,14.47707067,3.0657844,3.077771559,1.814542973,53.14251484,67.61958551,79.41178171,6.131568801
24,1.110147922,1.071349744,1.110147922,859.6453857,0.14997867,11.19954266,31.95552402,19.66563164,3.699637104,7.981910428,2.725932101,63.91104804,83.57667968,117.5182246,7.399274208
25,0.774221109,0.728965242,0.774221109,705.8401489,0.681708078,3.425815924,31.0994228,13.9836951,5.272051148,2.726645454,0.601275247,62.19884561,76.18254071,70.60689534,10.5441023
26,1.007434447,0.795194066,1.007434447,724.9697266,0.540790565,2.78506157,26.13237005,20.80010625,5.697442905,11.39418998,1.770791489,52.26474009,73.06484635,89.09739121,11.39488581
27,0.985612099,0.795516423,0.985612099,762.4933472,0.476756367,6.39840224,30.5693637,10.43860496,5.513069062,1.081554198,1.574718657,61.13872741,71.57733237,77.57659338,11.02613812
28,0.996286573,0.996286573,0.99506786,570.2329712,0.50268473,9.727084221,31.38855024,17.89046092,2.33367866,12.60565849,2.635261075,62.77710048,80.6675614,109.9231357,4.667357321
29,0.784045742,0.784045742,0.708776702,773.6644287,0.303493204,3.224156585,30.36430954,18.71800782,5.824432519,10.10318451,2.133658317,60.72861908,79.4466269,100.6664521,11.64886504
30,0.883907443,0.883907443,0.8802149,641.9729004,0.397818629,8.233152762,33.01326207,5.523349038,6.29144941,9.852018602,1.374152217,66.02652415,71.54987318,73.61644647,12.58289882
31,1.041255541,0.849432031,1.041255541,761.4146729,0.190949082,7.457899897,28.23232736,23.34571112,5.125613597,5.69719144,0.207649143,56.46465473,79.81036585,61.31237164,10.25122719
32,1.327874342,1.165332869,1.327874342,785.5362549,0.199735864,8.917584199,26.47488502,12.74046604,3.461927401,9.144033917,1.063146079,52.94977005,65.69023609,66.49474656,6.923854803
33,1.141992686,1.036805447,1.141992686,752.3526611,0.163394774,7.626655854,33.6874751,9.912542348,1.805017775,10.90330593,1.145789754,67.37495019,77.28749254,78.73263965,3.61003555
34,0.786608274,0.777760981,0.786608274,681.1738892,0.618325487,3.587289512,32.17519709,8.334910654,4.642124933,11.61380468,0.852582527,64.35039419,72.68530484,71.45659338,9.284249866
35,1.146595575,1.00009712,1.146595575,1064.912231,0.279767888,3.894083459,27.91378697,18.44491921,2.139307484,4.303800201,0.520190371,55.82757394,74.27249315,65.42244331,4.278614969
36,1.424499872,1.369617185,1.424499872,866.017334,0.542859231,8.630256593,29.20268525,5.661215039,1.315931042,0.734482956,0.727221843,58.40537049,64.06658553,62.52232973,2.631862084
37,1.288548029,0.531653931,1.288548029,1230.015625,0.101285394,2.451716673,30.09351683,6.599498741,2.654059307,4.850643984,1.215472861,60.18703367,66.78653241,68.20854528,5.308118613
38,1.02344323,0.797914686,1.02344323,839.5194092,0.227509499,4.037941368,27.64074917,22.1797664,1.49666691,12.01964218,2.186403444,55.28149833,77.46126473,103.775416,2.99333382
39,1.204617528,1.062193073,1.204617528,624.9074707,0.249682634,11.92103594,25.2139822,22.67303316,4.713344549,2.003518573,2.916103621,50.4279644,73.10099756,116.5448785,9.426689098
40,0.8658179363854386,0.7506023866240946,0.8658179363854386,898.683776855469,0.373183401873845,2.82565137350244,30.8509655548957,17.4115311361425,4.4602817642727,5.18833519796923,0.687141020746384,61.7019311097914,79.1134622459339,73.6661083874378,8.92056352854539
41,0.8064176632296044,0.8064176632296044,0.7670374712111452,831.815063476562,0.233953105774542,2.51813323294533,30.6058941684882,18.4837160486037,5.08256689685547,10.0043210888113,1.76110656324176,61.2117883369764,79.6955043855801,93.7635819832695,10.1651337937109
42,0.8071051507760101,0.6930534257531603,0.8071051507760101,838.739868164062,0.383422103318772,2.48415045709262,32.0155958040842,14.3270134559047,4.95257117446443,8.66281918833741,1.02390568237249,64.0311916081684,78.358205064073,78.7007020970964,9.90514234892886
43,0.792237751940546,0.792237751940546,0.7512732313421187,791.136108398438,0.496636070153632,3.16325939536742,31.643073993948,15.1409726110218,5.19078071826055,6.33873949174135,0.757428060051765,63.2861479878959,78.4271205989178,74.7543454999591,10.3815614365211
44,0.7307451226356396,0.7241390498539647,0.7307451226356396,788.134460449219,0.364485641984749,3.13453798148757,31.2590801284471,17.5008151026456,5.18361980985222,9.51351789536234,1.40315255831486,62.5181602568942,80.0189753595398,87.0744737407667,10.3672396197044
45,0.9417020731976484,0.7443379876637508,0.9417020731976484,917.944641113281,0.265209255852888,2.0,31.214204608744,16.8277948294275,4.31016297456826,7.78788650803362,1.07359826480179,62.4284092174881,79.2562040469156,80.494700546802,8.62032594913652
46,0.8993895744765401,0.7192380198360627,0.8993895744765401,745.522521972656,0.420449168796644,4.10359458976389,31.2653400276468,17.8579471041579,5.19531313508813,8.63955723783524,1.24032587943919,62.5306800552937,80.3886271594516,84.6803540022368,10.3906262701763
47,0.7307128980162845,0.7050844276762119,0.7307128980162845,803.544189453125,0.399389566853205,2.0,31.3890480632037,17.0046579579027,5.16870455216973,10.3309716728125,1.49051007407387,62.7780961264074,79.7827540843102,88.1237101188419,10.3374091043395
48,0.899632802012605,0.6935784603237698,0.899632802012605,824.523254394531,0.276118407211294,2.74870846813756,31.2742396824296,15.8384931945766,5.59935016421868,9.31340332679682,1.36137825627335,62.5484793648592,78.3869725594358,84.1106596120892,11.1987003284374
49,0.7306725458807568,0.6569424309980505,0.7306725458807568,796.380065917969,0.365526295844727,2.52087884467494,31.2834870330095,18.0712053601258,5.06402975805758,10.2622749890375,1.57368618766084,62.5669740660189,80.6381794261447,91.0053803356313,10.1280595161152
50,0.9172727996984277,0.6675393495662413,0.9172727996984277,794.611877441406,0.45626902777868,2.0,31.7978567387838,15.6964253779091,4.85141049322017,10.4628653146328,1.40634111999407,63.5957134775677,79.2921388554768,85.6702419234397,9.70282098644034
51,0.9267922141216434,0.790939311117786,0.9267922141216434,973.174987792969,0.316991619927048,2.0,31.9042694975478,13.1198630412836,4.33368401043304,5.53080182156155,0.521581531829652,63.8085389950957,76.9284020363793,70.6516172575637,8.66736802086608
